#{"t_start": 1599129303.3897023, "env_id": "DeeplengDocking-v1"}
r,l,t
-21187.626926,3,3292.63725
-23409.367101,8,3301.930866
-20000,1,3304.032881
-20000,1,3306.126966
-20000,1,3308.223439
-23468.55168,8,3317.508414
-26848.823965,15,3333.980941
-32235.506345,26,3361.757542
-20373.550892,2,3364.878542
-20493.015867,2,3367.996998
-22733.96109,6,3375.22311
-30789.35423,23,3399.924983
-20000,1,3402.022428
-20000,1,3404.117176
-20363.19974,2,3407.249313
-20000,1,3409.342962
-29581.683175,21,3431.984913
-22730.9501,7,3440.240748
-20000,1,3442.338182
-24863.796679,11,3454.714959
-20000,1,3456.811621
-20000,1,3458.907343
-36430.355347,31,3491.839164
-21412.734656,4,3497.017015
-20663.912466,2,3500.138681
-20000,1,3502.234902
-20000,1,3504.329499
-20000,1,3506.422934
-20000,1,3508.519547
-20000,1,3510.615597
-40512.934107,42,3554.83975
-22546.392813,6,3562.067171
-20000,1,3564.163806
-22067.073304,5,3570.371523
-20000,1,3572.467042
-20508.629067,2,3575.593047
-20000,1,3577.690908
-23328.387973,7,3585.954332
-27892.778933,17,3604.497573
-20725.991135,2,3607.61729
-20000,1,3609.713282
-20000,1,3611.809869
-21027.398909,3,3615.946531
-20000,1,3618.045182
-20374.335052,2,3621.167385
-23789.05314,8,3630.463079
-20956.417932,3,3634.617417
-20000,1,3636.720997
-20000,1,3638.816694
-24503.873322,10,3650.161721
-20965.522786,3,3654.311226
-21041.50616,3,3658.462291
-20000,1,3660.558426
-20000,1,3662.654502
-20000,1,3664.750475
-21262.095342,4,3669.930485
-20000,1,3672.023284
-20895.50798,3,3676.173025
-20405.308483,2,3679.292754
-20000,1,3681.389291
-23461.692353,8,3690.662579
-25716.746016,12,3704.05891
-20000,1,3706.154925
-23824.792435,9,3716.472918
-20000,1,3718.568214
-22991.732066,8,3727.852559
-20457.774076,2,3730.960699
-21957.260037,4,3736.140847
-20817.967317,3,3740.287111
-20000,1,3742.379001
-20469.4564,2,3745.509081
-22398.47669,5,3751.713425
-20000,1,3753.810431
-20000,1,3755.906197
-25046.649115,10,3767.253534
-20000,1,3769.351203
-28957.948955,17,3787.894929
-20428.776736,2,3791.019154
-21200.1437,4,3796.190911
-20000,1,3798.289599
-20000,1,3800.385648
-20000,1,3802.484954
-20000,1,3804.582943
-20620.67626,2,3807.702545
-21045.229981,3,3811.857106
-23182.694935,8,3821.144836
-20000,1,3823.243974
-20000,1,3825.338285
-20952.823117,3,3829.486887
-20000,1,3831.583385
-21372.573596,3,3835.737134
-20848.492063,3,3839.89302
-20000,1,3841.990324
-20000,1,3844.088197
-20000,1,3846.180413
-20000,1,3848.283554
-20000,1,3850.378965
-20995.468785,3,3854.536978
-27754.013273,16,3872.038256
-25618.246556,12,3885.433283
-21213.440809,3,3889.587199
-20000,1,3891.679302
-20000,1,3893.769751
-20000,1,3895.862444
-20000,1,3897.96416
-20000,1,3900.062098
-20000,1,3902.154674
-21700.948174,5,3908.359032
-20000,1,3910.456846
-20000,1,3912.553656
-20000,1,3914.647635
-20000,1,3916.741997
-20451.166155,2,3919.867776
-20000,1,3921.967041
-20000,1,3924.063266
-20000,1,3926.163632
-20533.587877,2,3929.481086
-20000,1,3931.581533
-20000,1,3933.679619
