#{"t_start": 1602585710.1716993, "env_id": "DeeplengDocking-v1"}
r,l,t
-20614.21,11,2375.935718
-21081.44,13,2383.378515
-20736.65,8,2388.186768
-21047.16,13,2395.631335
-20610.87,8,2400.444865
-20590.14,8,2406.214861
-21041.88,14,2414.183203
-20662.02,9,2419.509096
-20781.37,9,2424.847704
-20611.14,8,2429.668222
-20365.86,6,2433.428343
-21120.53,16,2442.457177
-20542.0,7,2446.742989
-21184.24,15,2455.206369
-20810.89,12,2462.031507
-20718.17,10,2468.895655
-20624.39,10,2474.757676
-20826.51,10,2480.620185
-20883.62,10,2486.494219
-20613.61,11,2492.890715
-20769.29,15,2501.38478
-21134.34,14,2509.353353
-20981.8,12,2516.264181
-20503.07,10,2523.04525
-20804.1,9,2528.386769
-20799.29,10,2534.254321
-20604.58,8,2539.06753
-21044.25,12,2545.986115
-20719.54,8,2550.795802
-20813.96,13,2558.238454
-20872.92,10,2564.104948
-21029.16,12,2571.020413
-21070.41,16,2580.045156
-20572.24,8,2585.71922
-20563.44,11,2592.110581
-21037.89,13,2599.55733
-20546.92,7,2603.837936
-20908.72,10,2609.699454
-20782.82,12,2616.615872
-20557.48,6,2620.380367
-21254.22,16,2629.407307
-21125.93,14,2637.383296
-20653.74,9,2643.659304
-20929.15,12,2650.581017
-20664.11,15,2659.072212
-20743.27,11,2665.46386
-20795.05,12,2672.386785
-20648.43,10,2678.250224
-20706.07,10,2684.120479
-20753.37,11,2690.51437
-21021.65,13,2697.978311
-20760.24,13,2706.334968
-20551.78,6,2710.097757
-21069.26,13,2717.544025
-20844.28,13,2724.991583
-20665.56,17,2734.542566
-21041.6,12,2741.461435
-21067.16,13,2748.906852
-20788.92,9,2754.242111
-20876.78,10,2760.99869
-21008.81,11,2767.390953
-20348.96,4,2770.101865
-21062.18,14,2778.067524
-21084.07,14,2786.105258
-20808.02,9,2791.444932
-20693.32,12,2798.366744
-20589.16,11,2804.756731
-20927.87,11,2811.115986
-20628.75,11,2818.393876
-20660.28,9,2823.733314
-20835.14,9,2829.072884
-20753.78,8,2833.888069
-20850.87,10,2839.75738
-21095.94,13,2847.202293
-21117.21,13,2854.645144
-20799.19,9,2859.98329
-20633.75,11,2866.378726
-20610.05,8,2871.194596
-20727.74,8,2876.896361
-20842.08,9,2882.248245
-21022.77,13,2889.698006
-21036.13,14,2897.672816
-20760.25,11,2904.067576
-20401.97,5,2907.303742
-20549.14,7,2911.590321
-20711.93,10,2917.459849
-20877.68,10,2923.327929
-20704.17,10,2929.209348
-21075.47,14,2938.079814
-20985.96,12,2945.002357
-20791.09,12,2951.92742
-20862.52,10,2957.79766
-20873.37,11,2964.194075
-20606.31,8,2969.007895
-20722.99,8,2973.825578
-20838.2,9,2979.162915
-21008.33,13,2986.612522
-20971.43,11,2993.010092
-20756.64,8,2998.755647
-20728.46,8,3003.570341
-20533.88,11,3009.96892
-21015.18,12,3016.881702
-20854.08,11,3023.273658
-20653.5,7,3027.561897
-21087.48,13,3035.002978
-20908.23,10,3040.87068
-20665.39,13,3048.320487
-20775.62,12,3056.132722
-20472.35,6,3059.893985
-20993.12,13,3067.336571
-20759.23,11,3073.733947
-20512.08,7,3078.020507
-20614.22,10,3083.886357
-20398.14,5,3087.123133
-20716.29,10,3093.000588
-20779.06,9,3098.340515
-20831.13,9,3103.689271
-20917.0,10,3109.557186
-20569.24,6,3113.315692
-20560.31,6,3118.662117
-20759.52,12,3125.58942
-21108.15,13,3133.034387
-20564.08,11,3139.436027
-20591.81,10,3145.305681
-20923.14,11,3151.700778
-20750.87,13,3159.143742
-20537.69,6,3162.907206
-20800.07,9,3168.250363
-20636.11,7,3172.537223
-20918.78,10,3179.415678
